eu_country,eu_iso3,fsu_country,fsu_iso3,year,flow,value_th,eu_iso3_map,is_mirror
Austria,AUT,Armenia,ARM,2021,export,22042.150432,AUT,False
Austria,AUT,Armenia,ARM,2021,import,12349.102754,AUT,False
Belgium,BEL,Armenia,ARM,2021,export,43398.459599,BEL,False
Belgium,BEL,Armenia,ARM,2021,import,29548.322773,BEL,False
Bulgaria,BGR,Armenia,ARM,2021,export,41694.7940868405,BGR,False
Bulgaria,BGR,Armenia,ARM,2021,import,1037.71249255531,BGR,False
Croatia,HRV,Armenia,ARM,2021,export,483.476,HRV,False
Croatia,HRV,Armenia,ARM,2021,import,192.642,HRV,False
Cyprus,CYP,Armenia,ARM,2021,export,863.62633,CYP,False
Cyprus,CYP,Armenia,ARM,2021,import,26.321886,CYP,False
Czechia,CZE,Armenia,ARM,2021,export,55923.814,CZE,False
Czechia,CZE,Armenia,ARM,2021,import,6642.579,CZE,False
Denmark,DNK,Armenia,ARM,2021,export,13930.736875,DNK,False
Denmark,DNK,Armenia,ARM,2021,import,815.050377,DNK,False
Estonia,EST,Armenia,ARM,2021,export,1853.28928,EST,False
Estonia,EST,Armenia,ARM,2021,import,1227.85079,EST,False
Finland,FIN,Armenia,ARM,2021,export,16354.0317585638,FIN,False
Finland,FIN,Armenia,ARM,2021,import,238.66043619366,FIN,False
France,FRA,Armenia,ARM,2021,export,58203.135579,FRA,False
France,FRA,Armenia,ARM,2021,import,4029.014328,FRA,False
Germany,DEU,Armenia,ARM,2021,export,218965.236547928,DEU,False
Germany,DEU,Armenia,ARM,2021,import,129370.769674168,DEU,False
Greece,GRC,Armenia,ARM,2021,export,14066.205136,GRC,False
Greece,GRC,Armenia,ARM,2021,import,105.95106,GRC,False
Hungary,HUN,Armenia,ARM,2021,export,19795.108,HUN,False
Hungary,HUN,Armenia,ARM,2021,import,965.325,HUN,False
Ireland,IRL,Armenia,ARM,2021,export,1049.919756,IRL,False
Ireland,IRL,Armenia,ARM,2021,import,370.986605,IRL,False
Italy,ITA,Armenia,ARM,2021,export,163837.734194952,ITA,False
Italy,ITA,Armenia,ARM,2021,import,61902.2327762723,ITA,False
Latvia,LVA,Armenia,ARM,2021,export,9971.648071,LVA,False
Latvia,LVA,Armenia,ARM,2021,import,3714.749583,LVA,False
Lithuania,LTU,Armenia,ARM,2021,export,20227.757,LTU,False
Lithuania,LTU,Armenia,ARM,2021,import,21733.18,LTU,False
Luxembourg,LUX,Armenia,ARM,2021,export,127.691884576049,LUX,False
Luxembourg,LUX,Armenia,ARM,2021,import,1353.4932736811,LUX,False
Malta,MLT,Armenia,ARM,2021,import,69.847912,MLT,False
Netherlands,NLD,Armenia,ARM,2021,export,58345.678258048,NLD,False
Netherlands,NLD,Armenia,ARM,2021,import,7718.64250666077,NLD,False
Poland,POL,Armenia,ARM,2021,export,43641.823,POL,False
Poland,POL,Armenia,ARM,2021,import,24141.642,POL,False
Portugal,PRT,Armenia,ARM,2021,export,3008.31417136872,PRT,False
Portugal,PRT,Armenia,ARM,2021,import,475.1659195425,PRT,False
Romania,ROM,Armenia,ARM,2021,export,4551.65187,ROU,False
Romania,ROM,Armenia,ARM,2021,import,191.1781,ROU,False
Slovakia,SVK,Armenia,ARM,2021,export,15290.754134,SVK,False
Slovakia,SVK,Armenia,ARM,2021,import,16066.947569,SVK,False
Slovenia,SVN,Armenia,ARM,2021,export,10562.6671908,SVN,False
Slovenia,SVN,Armenia,ARM,2021,import,10550.6618233,SVN,False
Spain,ESP,Armenia,ARM,2021,export,35763.191105854,ESP,False
Spain,ESP,Armenia,ARM,2021,import,76202.5231308271,ESP,False
Sweden,SWE,Armenia,ARM,2021,export,11104.792972,SWE,False
Sweden,SWE,Armenia,ARM,2021,import,754.497699,SWE,False
Austria,AUT,Armenia,ARM,2023,export,60121.156267,AUT,False
Austria,AUT,Armenia,ARM,2023,import,9822.406334,AUT,False
Belgium,BEL,Armenia,ARM,2023,export,91854.71007,BEL,False
Belgium,BEL,Armenia,ARM,2023,import,191780.945769,BEL,False
Bulgaria,BGR,Armenia,ARM,2023,export,77018.626508,BGR,False
Bulgaria,BGR,Armenia,ARM,2023,import,3148.827486,BGR,False
Croatia,HRV,Armenia,ARM,2023,export,6152.142,HRV,False
Croatia,HRV,Armenia,ARM,2023,import,236.808,HRV,False
Cyprus,CYP,Armenia,ARM,2023,export,1695.693026,CYP,False
Cyprus,CYP,Armenia,ARM,2023,import,756.543109,CYP,False
Czechia,CZE,Armenia,ARM,2023,export,150678.764,CZE,False
Czechia,CZE,Armenia,ARM,2023,import,7167.597,CZE,False
Denmark,DNK,Armenia,ARM,2023,export,21592.168269,DNK,False
Denmark,DNK,Armenia,ARM,2023,import,198.573875,DNK,False
Estonia,EST,Armenia,ARM,2023,export,23767.17598,EST,False
Estonia,EST,Armenia,ARM,2023,import,1646.50795,EST,False
Finland,FIN,Armenia,ARM,2023,export,56323.661941,FIN,False
Finland,FIN,Armenia,ARM,2023,import,475.105107,FIN,False
France,FRA,Armenia,ARM,2023,export,141931.578178,FRA,False
France,FRA,Armenia,ARM,2023,import,6303.313809,FRA,False
Germany,DEU,Armenia,ARM,2023,export,550401.983176,DEU,False
Germany,DEU,Armenia,ARM,2023,import,191184.475647,DEU,False
Greece,GRC,Armenia,ARM,2023,export,25599.326521,GRC,False
Greece,GRC,Armenia,ARM,2023,import,3657.520859,GRC,False
Hungary,HUN,Armenia,ARM,2023,export,33191.499,HUN,False
Hungary,HUN,Armenia,ARM,2023,import,1289.515,HUN,False
Ireland,IRL,Armenia,ARM,2023,export,11547.281719,IRL,False
Ireland,IRL,Armenia,ARM,2023,import,164.806963,IRL,False
Italy,ITA,Armenia,ARM,2023,export,361224.123296,ITA,False
Italy,ITA,Armenia,ARM,2023,import,65398.514833,ITA,False
Latvia,LVA,Armenia,ARM,2023,export,18451.18402,LVA,False
Latvia,LVA,Armenia,ARM,2023,import,4233.297481,LVA,False
Lithuania,LTU,Armenia,ARM,2023,export,126938.121,LTU,False
Lithuania,LTU,Armenia,ARM,2023,import,3591.285,LTU,False
Luxembourg,LUX,Armenia,ARM,2023,export,2944.888415,LUX,False
Luxembourg,LUX,Armenia,ARM,2023,import,126.94285,LUX,False
Malta,MLT,Armenia,ARM,2023,export,9.60599,MLT,False
Malta,MLT,Armenia,ARM,2023,import,37.959016,MLT,False
Netherlands,NLD,Armenia,ARM,2023,export,107783.901975,NLD,False
Netherlands,NLD,Armenia,ARM,2023,import,58736.054409,NLD,False
Poland,POL,Armenia,ARM,2023,export,237864.213,POL,False
Poland,POL,Armenia,ARM,2023,import,37904.908,POL,False
Portugal,PRT,Armenia,ARM,2023,export,10510.011,PRT,False
Portugal,PRT,Armenia,ARM,2023,import,171.274031,PRT,False
Romania,ROM,Armenia,ARM,2023,export,14510.30232,ROU,False
Romania,ROM,Armenia,ARM,2023,import,3726.1097,ROU,False
Slovakia,SVK,Armenia,ARM,2023,export,54326.586913,SVK,False
Slovakia,SVK,Armenia,ARM,2023,import,45523.252465,SVK,False
Slovenia,SVN,Armenia,ARM,2023,export,23125.969582,SVN,False
Slovenia,SVN,Armenia,ARM,2023,import,22883.61231,SVN,False
Spain,ESP,Armenia,ARM,2023,export,60080.368879,ESP,False
Spain,ESP,Armenia,ARM,2023,import,71371.782209,ESP,False
Sweden,SWE,Armenia,ARM,2023,export,19470.86244,SWE,False
Sweden,SWE,Armenia,ARM,2023,import,832.598051,SWE,False
Austria,AUT,Azerbaijan,AZE,2021,export,59948.643835,AUT,False
Austria,AUT,Azerbaijan,AZE,2021,import,61139.80289,AUT,False
Belgium,BEL,Azerbaijan,AZE,2021,export,55761.593911,BEL,False
Belgium,BEL,Azerbaijan,AZE,2021,import,6080.876086,BEL,False
Bulgaria,BGR,Azerbaijan,AZE,2021,export,23249.3667476618,BGR,False
Bulgaria,BGR,Azerbaijan,AZE,2021,import,74498.3334345831,BGR,False
Croatia,HRV,Azerbaijan,AZE,2021,export,5826.249,HRV,False
Croatia,HRV,Azerbaijan,AZE,2021,import,756629.647,HRV,False
Cyprus,CYP,Azerbaijan,AZE,2021,export,10665.746319,CYP,False
Cyprus,CYP,Azerbaijan,AZE,2021,import,11338.351809,CYP,False
Czechia,CZE,Azerbaijan,AZE,2021,export,88121.159,CZE,False
Czechia,CZE,Azerbaijan,AZE,2021,import,612595.096,CZE,False
Denmark,DNK,Azerbaijan,AZE,2021,export,8526.093631,DNK,False
Denmark,DNK,Azerbaijan,AZE,2021,import,116.200866,DNK,False
Estonia,EST,Azerbaijan,AZE,2021,export,3838.33425,EST,False
Estonia,EST,Azerbaijan,AZE,2021,import,3551.81925,EST,False
Finland,FIN,Azerbaijan,AZE,2021,export,15312.5177380196,FIN,False
Finland,FIN,Azerbaijan,AZE,2021,import,720.45916339464,FIN,False
France,FRA,Azerbaijan,AZE,2021,export,125856.382793,FRA,False
France,FRA,Azerbaijan,AZE,2021,import,94749.261183,FRA,False
Germany,DEU,Azerbaijan,AZE,2021,export,371712.97257165,DEU,False
Germany,DEU,Azerbaijan,AZE,2021,import,834645.172609294,DEU,False
Greece,GRC,Azerbaijan,AZE,2021,export,14040.598809,GRC,False
Greece,GRC,Azerbaijan,AZE,2021,import,658410.052013,GRC,False
Hungary,HUN,Azerbaijan,AZE,2021,export,48522.305,HUN,False
Hungary,HUN,Azerbaijan,AZE,2021,import,1190.266,HUN,False
Ireland,IRL,Azerbaijan,AZE,2021,export,11167.038972,IRL,False
Ireland,IRL,Azerbaijan,AZE,2021,import,13.376793,IRL,False
Italy,ITA,Azerbaijan,AZE,2021,export,310054.843581581,ITA,False
Italy,ITA,Azerbaijan,AZE,2021,import,10899377.9998162,ITA,False
Latvia,LVA,Azerbaijan,AZE,2021,export,22494.80289,LVA,False
Latvia,LVA,Azerbaijan,AZE,2021,import,1463.636403,LVA,False
Lithuania,LTU,Azerbaijan,AZE,2021,export,40982.318,LTU,False
Lithuania,LTU,Azerbaijan,AZE,2021,import,19156.664,LTU,False
Luxembourg,LUX,Azerbaijan,AZE,2021,export,17755.3269484715,LUX,False
Luxembourg,LUX,Azerbaijan,AZE,2021,import,116.086777517314,LUX,False
Malta,MLT,Azerbaijan,AZE,2021,import,99.965211,MLT,False
Netherlands,NLD,Azerbaijan,AZE,2021,export,120012.426255859,NLD,False
Netherlands,NLD,Azerbaijan,AZE,2021,import,14784.0161441977,NLD,False
Poland,POL,Azerbaijan,AZE,2021,export,95412.684,POL,False
Poland,POL,Azerbaijan,AZE,2021,import,7992.945,POL,False
Portugal,PRT,Azerbaijan,AZE,2021,export,4591.14832521459,PRT,False
Portugal,PRT,Azerbaijan,AZE,2021,import,629713.996200863,PRT,False
Romania,ROM,Azerbaijan,AZE,2021,export,66923.97436,ROU,False
Romania,ROM,Azerbaijan,AZE,2021,import,47081.68215,ROU,False
Slovakia,SVK,Azerbaijan,AZE,2021,export,21220.796424,SVK,False
Slovakia,SVK,Azerbaijan,AZE,2021,import,1817.258014,SVK,False
Slovenia,SVN,Azerbaijan,AZE,2021,export,19523.3992234,SVN,False
Slovenia,SVN,Azerbaijan,AZE,2021,import,365.182404,SVN,False
Spain,ESP,Azerbaijan,AZE,2021,export,94826.291262008,ESP,False
Spain,ESP,Azerbaijan,AZE,2021,import,698289.636538582,ESP,False
Sweden,SWE,Azerbaijan,AZE,2021,export,60368.910442,SWE,False
Sweden,SWE,Azerbaijan,AZE,2021,import,544.973303,SWE,False
Austria,AUT,Azerbaijan,AZE,2023,export,67424.17536,AUT,False
