Code,iso3,Country,code_note,Value2021,Share2021,Value2023,Share2023,abs_change,pct_change,status
CHN,CHN,China,,68679248.08,0.139502994588772,129205577.99,0.301806058279427,60526329.91,88.12899325790056,Present in both years
NLD,NLD,Netherlands,,42145025.16,0.0856060219236918,5716672.46,0.0133533428545994,-36428352.699999996,-86.43571230934816,Present in both years
DEU,DEU,Germany,,29645649.04,0.0602169786831446,4241584.66,0.00990774521508786,-25404064.38,-85.6923872562987,Present in both years
TUR,TUR,Turkiye,,26426295.17,0.0536777471385183,45599586.71,0.106514221275967,19173291.54,72.55383857880369,Present in both years
BLR,BLR,Belarus,,23130382.72,0.0469830079045966,0.0,,-23130382.72,-100.0,Only in 2021 (no 2023 mirror data)
GBR,GBR,United Kingdom,,22274619.79,0.0452447609853233,353054.16,0.000824684863040518,-21921565.63,-98.41499355172607,Present in both years
ITA,ITA,Italy,,19284242.45,0.0391706322558638,4391769.87,0.0102585567430969,-14892472.579999998,-77.22612188999935,Present in both years
KAZ,KAZ,Kazakhstan,,18493813.46,0.0375650932583149,16192156.67,0.0378226006619765,-2301656.790000001,-12.44554994013658,Present in both years
USA,USA,United States,,17747760.84,0.0360496926457518,4902440.53,0.011451411582425,-12845320.309999999,-72.37713211150077,Present in both years
KOR,KOR,"Korea, Rep. (South Korea)",,16894810.11,0.0343171579369694,8889358.51,0.0207642912502077,-8005451.6,-47.38408746755663,Present in both years
POL,POL,Poland,,16722433.69,0.0339670226710958,2665876.65,0.00622711291657961,-14056557.04,-84.05808209845561,Present in both years
JPN,JPN,Japan,,10726012.15,0.0217869422970036,7378690.98,0.0172355843654685,-3347321.17,-31.207508654556204,Present in both years
FRA,FRA,France,,9910301.87,0.0201300513152576,3646111.71,0.00851680415319785,-6264190.159999999,-63.20887337410641,Present in both years
FIN,FIN,Finland,,9655805.69,0.0196131123531413,1342753.05,0.00313648227551401,-8313052.64,-86.09382693574067,Present in both years
IND,IND,India,,9128108.42,0.018541240551115,67070988.51,0.156668396070907,57942880.089999996,634.7742316803025,Present in both years
