Code,iso3,Country,code_note,Value2021,Share2021,Value2023,Share2023,abs_change,pct_change,status
AFG,AFG,Afghanistan,,4722.18378,1.6089369636617096e-05,0.0,0.0,-4722.18378,-100.0,Only in 2021 (no 2023 mirror data)
AGO,AGO,Angola,,1999.31192,6.812032313527329e-06,66.820654,2.580699807870539e-07,-1932.491266,-96.65781745551739,Present in both years
ALB,ALB,Albania,,16864.16611,5.745939056973784e-05,97.026021,3.747270024521803e-07,-16767.140088999997,-99.42466161465009,Present in both years
AND,AND,Andorra,,49.76562,1.6956084148326483e-07,254.48073,9.828373888973827e-07,204.71510999999998,411.3585041239313,Present in both years
ARE,ARE,United Arab Emirates,,276303.94018,0.000941419570419548,4492377.530526,0.017350141215185317,4216073.590346,1525.882543549474,Present in both years
ARG,ARG,Argentina,,1012309.85344,0.0034491303552751256,268605.14819,0.0010373877129771442,-743704.70525,-73.4661134357989,Present in both years
ARM,ARM,Armenia,,711561.2899918,0.0024244233488486034,3505429.29044,0.013538419866920592,2793868.0004482,392.63912184998094,Present in both years
ASM,ASM,American Samoa,,5.81357,1.9807928068049067e-08,0.0,0.0,-5.81357,-100.0,Only in 2021 (no 2023 mirror data)
ATF,ATF,French Southern Territories,,0.32728,1.1151046083750774e-09,0.0,0.0,-0.32728,-100.0,Only in 2021 (no 2023 mirror data)
ATG,ATG,Antigua and Barbuda,,1.91817,6.535566507720674e-09,0.0,0.0,-1.91817,-100.0,Only in 2021 (no 2023 mirror data)
AUS,AUS,Australia,,738676.33094,0.0025168094009068312,2590.896988,1.0006378206271311e-05,-736085.433952,-99.64925138663872,Present in both years
AUT,AUT,Austria,,2657588.54265,0.009054904763730814,1401824.525337,0.005414027050985472,-1255764.0173130003,-47.25201050350788,Present in both years
AZE,AZE,Azerbaijan,,1031984.73602,0.0035161663863011476,1196411.31007,0.004620694730153029,164426.57404999994,15.933043223501064,Present in both years
BDI,BDI,Burundi,,1523.86816,5.1921058658397995e-06,248.640406,9.602813046293335e-07,-1275.227754,-83.68360121127539,Present in both years
BEL,BEL,Belgium,,2523051.26572,0.008596510919001906,2085501.422504,0.008054475372793881,-437549.8432160001,-17.342090870719467,Present in both years
BEN,BEN,Benin,,464.20591,1.5816369759103715e-06,149.420221,5.770801579204441e-07,-314.78568900000005,-67.81165043762584,Present in both years
BFA,BFA,Burkina Faso,,55.05413,1.875797912279412e-07,306.179622,1.1825051752251248e-06,251.125492,456.1428761112018,Present in both years
BGD,BGD,Bangladesh,,1273263.09346,0.004338247198701884,0.0,0.0,-1273263.09346,-100.0,Only in 2021 (no 2023 mirror data)
BGR,BGR,Bulgaria,,570485.11842,0.0019437502583706419,540233.134449,0.0020864500163045897,-30251.98397099995,-5.302852431065165,Present in both years
BHR,BHR,Bahrain,,14820.23332,5.0495326547072447e-05,1274.46081,4.922131961632001e-06,-13545.772509999999,-91.400534779165,Present in both years
BHS,BHS,Bahamas,,1.69823,5.786189498535833e-09,0.0,0.0,-1.69823,-100.0,Only in 2021 (no 2023 mirror data)
BIH,BIH,Bosnia and Herzegovina,,87307.79451,0.0002974741017024116,56431.348802,0.00021794514464224907,-30876.445708000007,-35.365050602055355,Present in both years
BLR,BLR,Belarus,,15635533.4710057,0.05327320773625405,0.0,0.0,-15635533.4710057,-100.0,Only in 2021 (no 2023 mirror data)
BLZ,BLZ,Belize,,406.22999,1.384102095786976e-06,5.29424,2.0447037454647667e-08,-400.93575,-98.69673826888064,Present in both years
BMU,BMU,Bermuda,,34.28478,1.168147035416942e-07,0.0,0.0,-34.28478,-100.0,Only in 2021 (no 2023 mirror data)
BOL,BOL,Bolivia,,14625.73409,4.983263103344985e-05,12226.29486,4.721952705846094e-05,-2399.43923,-16.405598619768153,Present in both years
BRA,BRA,Brazil,,2222832.38952,0.0075736086568049905,1343313.932,0.005188051595876656,-879518.4575200002,-39.56746634009251,Present in both years
BRB,BRB,Barbados,,998.77643,3.403019432380249e-06,0.0,0.0,-998.77643,-100.0,Only in 2021 (no 2023 mirror data)
BRN,BRN,Brunei Darussalam,,3.94954,1.345682673845546e-08,0.0,0.0,-3.94954,-100.0,Only in 2021 (no 2023 mirror data)
BTN,BTN,Bhutan,,9.51203,3.240927795160715e-08,12.877875,4.973601356592652e-08,3.365845,35.38513860868816,Present in both years
BVT,BVT,Bouvet Island,,0.27274,9.2927655490167e-10,0.0,0.0,-0.27274,-100.0,Only in 2021 (no 2023 mirror data)
BWA,BWA,Botswana,,15703.19982,5.3503759733306904e-05,1.675887,6.472491662402368e-09,-15701.523933,-99.98932773562579,Present in both years
CAF,CAF,Central African Republic,,164.4786,5.604095723511397e-07,61.848557,2.3886710113159037e-07,-102.630043,-62.397201216450036,Present in both years
CAN,CAN,Canada,,928058.34078,0.0031620695815347895,35938.821607,0.00013880036255897537,-892119.519173,-96.1275256061171,Present in both years
CCK,CCK,Cocos (Keeling) Islands,,12.46157,4.2458916324213556e-08,0.0,0.0,-12.46157,-100.0,Only in 2021 (no 2023 mirror data)
CHE,CHE,Switzerland,,3395150.15409999,0.011567916105360098,2878047.258264,0.011115389571679794,-517102.8958359901,-15.230634062282505,Present in both years
CHL,CHL,Chile,,775570.62196,0.0026425152000364243,460729.074211,0.0017793950853828805,-314841.547749,-40.59482641997726,Present in both years
CHN,CHN,China,,72693024.87522,0.24767882863322524,110935409.106,0.428446852624181,38242384.230780005,52.608051868008424,Present in both years
CIV,CIV,Cote d'Ivoire,,257454.89564,0.0008771973251554895,58261.075769,0.00022501178609145197,-199193.819871,-77.37037564418016,Present in both years
CMR,CMR,Cameroon,,4379.30433,1.4921114763688371e-05,123.507994,4.770037964403577e-07,-4255.796336,-97.1797348461508,Present in both years
COG,COG,"Congo, Rep.",,2200.96516,7.499102886791095e-06,0.0,0.0,-2200.96516,-100.0,Only in 2021 (no 2023 mirror data)
COK,COK,Cook Islands,,32.78437,1.1170252404569065e-07,0.0,0.0,-32.78437,-100.0,Only in 2021 (no 2023 mirror data)
COL,COL,Colombia,,202396.50434,0.0006896030148757649,68921.83861,0.00026618502665195603,-133474.66573,-65.94712006773585,Present in both years
COM,COM,Comoros,,121.3462,4.1344936087999205e-07,0.0,0.0,-121.3462,-100.0,Only in 2021 (no 2023 mirror data)
CPV,CPV,Cabo Verde,,24.27845,8.272125238084788e-08,0.0,0.0,-24.27845,-100.0,Only in 2021 (no 2023 mirror data)
CRI,CRI,Costa Rica,,113226.13879,0.0003857827827952979,23862.14029,9.215866229292346e-05,-89363.9985,-78.92523710072194,Present in both years
CUB,CUB,Cuba,,14771.34004,5.032873793228825e-05,0.0,0.0,-14771.34004,-100.0,Only in 2021 (no 2023 mirror data)
CUW,CUW,Curacao,,148.16112,5.048128443351651e-07,0.0,0.0,-148.16112,-100.0,Only in 2021 (no 2023 mirror data)
CXR,CXR,Christmas Island,,0.80486,2.742309628137267e-09,0.0,0.0,-0.80486,-100.0,Only in 2021 (no 2023 mirror data)
CYM,CYM,Cayman Islands,,377.49684,1.2862028413927807e-06,0.0,0.0,-377.49684,-100.0,Only in 2021 (no 2023 mirror data)
CYP,CYP,Cyprus,,42150.93577,0.00014361617796519458,23039.357106,8.898096755670028e-05,-19111.578663999997,-45.340817030217025,Present in both years
CZE,CZE,Czech Republic,,3622118.19282,0.012341238966306492,731314.948,0.002824432615993931,-2890803.24482,-79.80974366188104,Present in both years
DEU,DEU,Germany,,27350551.98901,0.09318848253650448,9968465.530975,0.03849949909282731,-17382086.458035,-63.55296399509404,Present in both years
DJI,DJI,Djibouti,,0.0,0.0,1.801777,6.958695073121488e-09,1.801777,,New in 2023 (no 2021 record)
DMA,DMA,Dominica,,53.33204,1.817123062149962e-07,0.0,0.0,-53.33204,-100.0,Only in 2021 (no 2023 mirror data)
DNK,DNK,Denmark,,1251105.85505,0.004262753313771989,102690.631059,0.0003966044568256781,-1148415.2239909999,-91.79201099215574,Present in both years
DOM,DOM,Dominican Republic,,39566.386,0.00013481013005789275,2199.70896,8.495559607128514e-06,-37366.677039999995,-94.44046024319734,Present in both years
DZA,DZA,Algeria,,18266.81981,6.223849593769297e-05,0.0,0.0,-18266.81981,-100.0,Only in 2021 (no 2023 mirror data)
ECU,ECU,Ecuador,,1459943.90555,0.004974303889782186,923610.7265,0.003567103704830125,-536333.17905,-36.73656070011464,Present in both years
EGY,EGY,Egypt,,591955.86193,0.002016905125864043,523956.802397,0.002023588723448292,-67999.05953299999,-11.48718408012674,Present in both years
ERI,ERI,Eritrea,,130.78148,4.4559713712452026e-07,0.0,0.0,-130.78148,-100.0,Only in 2021 (no 2023 mirror data)
ESH,ESH,Western Sahara,,152.22999,5.186762508613172e-07,0.0,0.0,-152.22999,-100.0,Only in 2021 (no 2023 mirror data)
ESP,ESP,Spain,,3506085.4871,0.011945893681319323,920274.666011,0.003554219409110711,-2585810.821089,-73.75207565825242,Present in both years
EST,EST,Estonia,,473838.45694,0.0016144568777778344,1183088.81159,0.004569241523383022,709250.3546500001,149.68188931524594,Present in both years
ETH,ETH,Ethiopia,,30542.88428,0.00010406535997828985,12934.262357,4.995378880855768e-05,-17608.621923,-57.652125325080796,Present in both years
FIN,FIN,Finland,,3565546.13863,0.012148487321438143,712692.548044,0.0027525105064190422,-2852853.590586,-80.01168627934683,Present in both years
